IYS_Specimen_ID,IAgroup
IYS2022-TINRO-3-29-Trawl-212-482,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-483,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-484,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-29-Trawl-212-468,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-459,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-460,PWS_CopperR_SEAK
IYS2022-TINRO-3-29-Trawl-212-469,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-461,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-462,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-463,PWS_CopperR_SEAK
IYS2022-TINRO-3-29-Trawl-211-464,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-465,BC_WA
IYS2022-TINRO-3-29-Trawl-211-466,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-467,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-216-486,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-216-488,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-216-489,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-217-490,Cook_Inlet
IYS2022-TINRO-3-30-Trawl-217-491,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-217-492,Western_AK_BBay
IYS2022-TINRO-3-31-Trawl-221-494,BC_WA
IYS2022-TINRO-3-31-Trawl-221-495,Cook_Inlet
IYS2022-TINRO-3-31-Trawl-221-496,Western_AK_BBay
IYS2022-TINRO-3-32-Trawl-226-502,Western_AK_BBay
IYS2022-TINRO-3-32-Trawl-226-503,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-2-CanTrawl-3-9,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-11,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-12,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-13,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-14,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-15,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-17,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-18,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-19,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-21,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-22,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-23,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-24,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-35,Cook_Inlet
IYS2022-NW-2-3-CanTrawl-3-3,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-3,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-5,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-6,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-7,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-8,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-10,Western_AK_BBay
IYS2022-NW-2-4-CanTrawl-2-1,Western_AK_BBay
IYS2022-NW-2-4-CanTrawl-2-2,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-24,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-25,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-26,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-27,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-28,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-5-CanTrawl-2-29,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-30,Cook_Inlet
IYS2022-NW-2-5-CanTrawl-2-31,BC_WA
IYS2022-NW-2-6-CanTrawl-3-33,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-6-CanTrawl-3-33,Western_AK_BBay
IYS2022-NW-2-6-CanTrawl-3-33,Western_AK_BBay
IYS2022-NW-2-6-CanTrawl-3-38,Cook_Inlet
IYS2022-NW-2-6-CanTrawl-3-39,Western_AK_BBay
IYS2022-NW-2-6-CanTrawl-3-43,Cook_Inlet
