IYS_Specimen_ID,GCLcard_position,IAgroup
IYS2022-NW-2-2-CanTrawl-3-13,0000063287_5,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-14,0000063287_6,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-15,0000063287_7,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-17,0000063287_9,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-18,0000063287_10,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-19,0000063332_1,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-21,0000063332_3,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-22,0000063332_4,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-23,0000063332_5,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-24,0000063332_6,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-35,0000063332_7,Cook_Inlet
IYS2022-NW-2-3-CanTrawl-3-3,0000063265_2,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-5,0000063261_1,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-6,0000063261_2,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-7,0000063261_3,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-8,0000063261_4,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-9,0000063261_5,Western_AK_BBay
IYS2022-NW-2-3-CanTrawl-3-11,0000063261_7,Western_AK_BBay
IYS2022-NW-2-4-CanTrawl-2-1,0000063282_1,Western_AK_BBay
IYS2022-NW-2-4-CanTrawl-2-2,0000063282_2,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-24,0000063319_1,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-25,0000063319_2,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-26,0000063319_3,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-27,0000063319_4,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-28,0000063319_5,AK_Pen_Kodiak_Afognak
